Query ID,Shard ID,Query Type,Data Size (MB),Execution Time (s),CPU Usage (%),Memory Usage (MB),I/O Operations,Timestamp
Q001,Shard_1,JOIN,506,2.12,87,799,149,2025-03-01 10:37:49
Q002,Shard_5,UPDATE,256,2.29,73,735,130,2025-03-01 10:44:48
Q003,Shard_2,UPDATE,163,1.31,84,687,53,2025-03-01 10:23:08
Q004,Shard_2,SELECT,104,1.8,72,555,87,2025-03-01 10:12:26
Q005,Shard_1,SELECT,264,1.93,67,546,53,2025-03-01 10:46:38
Q006,Shard_2,UPDATE,324,1.3,74,479,116,2025-03-01 10:13:49
Q007,Shard_2,JOIN,578,2.93,76,845,116,2025-03-01 10:12:14
Q008,Shard_2,UPDATE,154,1.81,71,479,113,2025-03-01 10:19:14
Q009,Shard_1,UPDATE,455,1.48,62,422,72,2025-03-01 10:24:56
Q010,Shard_4,JOIN,535,2.73,70,694,104,2025-03-01 10:57:04
Q011,Shard_4,SELECT,114,1.2,50,360,85,2025-03-01 10:06:49
Q012,Shard_2,UPDATE,269,2.49,75,721,63,2025-03-01 10:49:02
Q013,Shard_3,JOIN,351,2.83,91,863,149,2025-03-01 10:11:41
Q014,Shard_2,SELECT,208,0.67,66,470,80,2025-03-01 10:22:32
Q015,Shard_3,JOIN,442,2.54,88,755,164,2025-03-01 10:46:47
Q016,Shard_4,JOIN,530,2.53,95,780,112,2025-03-01 10:54:30
Q017,Shard_4,UPDATE,233,1.22,66,644,84,2025-03-01 10:43:45
Q018,Shard_4,UPDATE,298,2.38,64,437,64,2025-03-01 10:55:46
Q019,Shard_2,JOIN,522,2.28,87,909,122,2025-03-01 10:47:55
Q020,Shard_1,SELECT,203,1.49,70,390,47,2025-03-01 10:15:27
Q021,Shard_2,JOIN,569,2.21,89,955,103,2025-03-01 10:58:02
Q022,Shard_4,SELECT,129,1.64,56,381,62,2025-03-01 10:22:40
Q023,Shard_5,UPDATE,235,1.04,78,604,149,2025-03-01 10:28:05
Q024,Shard_5,SELECT,102,1.29,57,303,45,2025-03-01 10:16:15
Q025,Shard_3,SELECT,300,0.78,59,567,73,2025-03-01 10:48:21
Q026,Shard_1,UPDATE,448,1.55,84,429,136,2025-03-01 10:35:19
Q027,Shard_3,UPDATE,186,1.01,78,747,55,2025-03-01 10:35:37
Q028,Shard_4,SELECT,291,1.35,77,459,62,2025-03-01 10:25:12
Q029,Shard_1,SELECT,118,0.95,72,420,92,2025-03-01 10:49:53
Q030,Shard_5,JOIN,386,2.46,84,894,173,2025-03-01 10:07:40
Q031,Shard_3,SELECT,187,1.83,63,459,53,2025-03-01 10:48:05
Q032,Shard_4,JOIN,518,2.43,83,802,159,2025-03-01 10:09:37
Q033,Shard_5,JOIN,317,2.87,91,734,143,2025-03-01 10:33:49
Q034,Shard_1,UPDATE,499,1.3,61,408,69,2025-03-01 10:20:35
Q035,Shard_1,UPDATE,469,2.35,85,679,115,2025-03-01 10:33:21
Q036,Shard_1,UPDATE,450,2.42,78,463,113,2025-03-01 10:35:57
Q037,Shard_3,SELECT,103,1.51,69,533,59,2025-03-01 10:17:54
Q038,Shard_5,UPDATE,443,1.54,74,662,146,2025-03-01 10:47:01
Q039,Shard_5,UPDATE,268,1.59,69,565,86,2025-03-01 10:09:53
Q040,Shard_2,JOIN,382,2.33,78,604,144,2025-03-01 10:25:26
Q041,Shard_2,JOIN,432,2.67,89,755,114,2025-03-01 10:31:00
Q042,Shard_3,JOIN,493,2.98,94,767,150,2025-03-01 10:43:23
Q043,Shard_1,UPDATE,245,2.22,75,612,126,2025-03-01 10:42:05
Q044,Shard_5,JOIN,337,2.73,90,609,192,2025-03-01 10:47:40
Q045,Shard_2,UPDATE,329,2.37,70,565,138,2025-03-01 10:19:47
Q046,Shard_1,UPDATE,300,1.68,79,432,92,2025-03-01 10:39:15
Q047,Shard_5,UPDATE,328,1.77,71,423,148,2025-03-01 10:55:17
Q048,Shard_3,UPDATE,216,1.4,64,747,112,2025-03-01 10:27:10
Q049,Shard_1,UPDATE,354,2.17,61,524,135,2025-03-01 10:07:38
Q050,Shard_1,UPDATE,183,1.04,85,524,71,2025-03-01 10:29:57
Q051,Shard_1,UPDATE,275,1.7,81,457,114,2025-03-01 10:06:47
Q052,Shard_1,JOIN,397,2.63,73,673,164,2025-03-01 10:46:50
Q053,Shard_5,UPDATE,255,1.09,83,641,147,2025-03-01 10:32:00
Q054,Shard_1,JOIN,481,2.38,95,960,112,2025-03-01 10:05:36
Q055,Shard_3,JOIN,528,2.78,71,709,100,2025-03-01 10:42:56
Q056,Shard_4,SELECT,294,0.56,69,593,74,2025-03-01 10:29:33
Q057,Shard_3,JOIN,575,2.27,91,823,119,2025-03-01 10:06:03
Q058,Shard_4,JOIN,339,2.46,72,924,133,2025-03-01 10:27:52
Q059,Shard_3,SELECT,183,1.05,65,489,46,2025-03-01 10:10:10
Q060,Shard_3,UPDATE,464,2.08,67,502,122,2025-03-01 10:49:03
Q061,Shard_4,SELECT,112,0.58,76,567,71,2025-03-01 10:15:14
Q062,Shard_3,JOIN,511,2.2,89,905,166,2025-03-01 10:30:54
Q063,Shard_3,UPDATE,188,1.61,81,639,80,2025-03-01 10:14:09
Q064,Shard_1,SELECT,204,0.67,60,585,95,2025-03-01 10:30:55
Q065,Shard_4,SELECT,175,0.6,56,558,98,2025-03-01 10:36:50
Q066,Shard_4,JOIN,445,2.42,76,843,102,2025-03-01 10:17:42
Q067,Shard_2,UPDATE,475,1.18,69,487,58,2025-03-01 10:19:51
Q068,Shard_2,UPDATE,307,2.35,75,731,113,2025-03-01 10:47:21
Q069,Shard_1,SELECT,202,0.96,55,372,85,2025-03-01 10:24:10
Q070,Shard_4,SELECT,290,0.57,76,382,98,2025-03-01 10:56:03
Q071,Shard_4,SELECT,208,1.42,54,566,72,2025-03-01 10:10:39
Q072,Shard_5,JOIN,552,2.77,90,918,164,2025-03-01 10:37:23
Q073,Shard_5,UPDATE,173,1.32,83,479,84,2025-03-01 10:05:58
Q074,Shard_3,SELECT,211,0.72,59,474,99,2025-03-01 10:42:55
Q075,Shard_5,UPDATE,262,1.65,81,784,97,2025-03-01 10:31:47
Q076,Shard_5,SELECT,129,1.64,76,360,54,2025-03-01 10:25:03
Q077,Shard_3,UPDATE,442,2.12,66,675,102,2025-03-01 10:48:00
Q078,Shard_2,JOIN,564,2.93,86,918,146,2025-03-01 10:51:15
Q079,Shard_2,JOIN,445,2.95,74,943,159,2025-03-01 10:30:07
Q080,Shard_1,SELECT,111,1.53,63,459,52,2025-03-01 10:49:04
Q081,Shard_4,SELECT,151,1.08,76,362,79,2025-03-01 10:06:08
Q082,Shard_4,SELECT,100,1.19,70,375,43,2025-03-01 10:12:38
Q083,Shard_3,JOIN,310,2.37,77,712,144,2025-03-01 10:48:15
Q084,Shard_2,JOIN,440,2.45,75,745,161,2025-03-01 10:23:56
Q085,Shard_3,UPDATE,236,1.6,74,730,99,2025-03-01 10:22:59
Q086,Shard_4,JOIN,452,2.81,77,709,198,2025-03-01 10:47:32
Q087,Shard_1,SELECT,300,0.82,62,562,56,2025-03-01 10:42:35
Q088,Shard_2,UPDATE,278,2.35,79,401,57,2025-03-01 10:49:30
Q089,Shard_1,UPDATE,420,1.99,72,530,149,2025-03-01 10:57:53
Q090,Shard_4,SELECT,165,0.66,68,314,90,2025-03-01 10:31:39
Q091,Shard_4,SELECT,296,0.83,67,391,83,2025-03-01 10:55:18
Q092,Shard_4,UPDATE,341,1.02,79,488,127,2025-03-01 10:37:33
Q093,Shard_4,JOIN,351,2.95,94,656,148,2025-03-01 10:37:53
Q094,Shard_1,UPDATE,234,1.29,81,432,114,2025-03-01 10:56:22
Q095,Shard_3,JOIN,356,2.63,70,668,113,2025-03-01 10:53:33
Q096,Shard_5,JOIN,538,2.11,81,881,101,2025-03-01 10:40:49
Q097,Shard_4,UPDATE,338,1.92,78,676,57,2025-03-01 10:45:01
Q098,Shard_1,SELECT,217,1.43,51,319,94,2025-03-01 10:12:45
Q099,Shard_5,JOIN,395,2.87,89,810,172,2025-03-01 10:56:25
Q100,Shard_2,UPDATE,279,1.83,82,759,137,2025-03-01 10:39:53
Q101,Shard_1,JOIN,409,2.78,84,780,172,2025-03-01 10:48:36
Q102,Shard_4,JOIN,329,2.33,79,838,199,2025-03-01 10:26:25
Q103,Shard_1,SELECT,158,0.71,68,508,78,2025-03-01 10:21:06
